"Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total,MP Office"
2021/12/03,Drummondville,1,To plan Member's priorities and activities,Hosting a meeting,M0286507,Restaurant Capiche,65.19,"Champoux, Martin"
2021/11/21,Toronto,160,To meet constituents,Hosting a meeting,M0287090,Costco,79.98,"Chen, Shaun"
2021/11/02,Markham,2,To plan Member's priorities and activities,Hosting a meeting,M0286065,Ramonas Cafe,46.58,"Chiang, Paul"
2021/11/29,Markham,2,"To discuss business of the House, caucus and committees",Hosting a meeting,M0286065,restaurant,38.98,"Chiang, Paul"
2021/04/01,Richmond,0,To meet visitors of Member’s office,Hosting a meeting,M0281607,Shoppers Drug Mart,14.66,"Chiu, Kenny"
2021/04/01,Richmond,0,To meet visitors of Member’s office,Hosting a meeting,M0281607,Safeway,13.34,"Chiu, Kenny"
2021/06/20,Richmond,1,To discuss constituency issues with stakeholders,Hosting a meeting,M0281607,Browns Socialhouse Point Grey,40.98,"Chiu, Kenny"
2021/08/09,Richmond,15,To discuss constituency issues with stakeholders,Hosting a meeting,M0282499,Save-on-Foods,25.34,"Chiu, Kenny"
2021/08/09,Richmond,15,To discuss constituency issues with stakeholders,Hosting a meeting,M0282499,Shoppers Drug Mart,16.70,"Chiu, Kenny"
2021/08/13,Richmond,4,To plan Member's priorities and activities,Hosting a staff event,M0282499,Continental Restaurant,64.12,"Chiu, Kenny"
2021/08/14,Richmond,2,To plan Member's priorities and activities,Hosting a meeting,M0282499,An Nam Restaurant,29.00,"Chiu, Kenny"
2021/10/28,Victoria,100,To celebrate a significant event,Meal at a community activity or event,M0284967,"Société francophone de Victoria, La",80.00,"Collins, Laurel"
2021/12/03,St. Albert,200,To meet constituents,Hosting a town hall or community event,M0285143,Superstore,34.98,"Cooper, Michael"
2021/12/03,St. Albert,200,To meet constituents,Hosting a town hall or community event,M0285143,Walmart,30.00,"Cooper, Michael"
2021/04/01,Caraquet,0,To meet visitors of Member’s office,Hosting a meeting,M0283264,Nespresso,238.10,"Cormier, Serge"
2021/04/01,Ottawa,0,To meet visitors of Member’s office,Hosting a meeting,M0285872,Nespresso,137.60,"Cormier, Serge"
2021/07/01,Shippagan,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0287331,Pinokkio Pizzeria Resto-Bar,139.00,"Cormier, Serge"
2021/07/03,Caraquet,1,To discuss constituency issues with stakeholders,Hosting a meeting,M0287331,Maribel,26.60,"Cormier, Serge"
2021/07/05,Caraquet,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0287331,Le Caraquette,55.06,"Cormier, Serge"
2021/07/23,Caraquet,1,To discuss constituency issues with stakeholders,Hosting a meeting,M0287331,Bobby Comptoir Lunch,38.70,"Cormier, Serge"
2021/07/24,Caraquet,1,To discuss constituency issues with stakeholders,Hosting a meeting,M0287331,Bobby Comptoir Lunch,26.70,"Cormier, Serge"
2021/07/26,Moncton,1,"To discuss business of the House, caucus and committees",Hosting a meeting,M0287331,The Gahan House,70.00,"Cormier, Serge"
2021/09/24,Caraquet,3,To plan Member's priorities and activities,Hosting a meeting,M0287599,Grains de Folie,22.45,"Cormier, Serge"
2021/10/16,Caraquet,11,To discuss constituency issues with stakeholders,Hosting a meeting,M0287765,La Caraquette,192.93,"Cormier, Serge"
2021/10/18,Caraquet,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0287765,Dixie Lee,34.45,"Cormier, Serge"
2021/10/25,Caraquet,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0287599,Dixie Lee,38.69,"Cormier, Serge"
2021/10/30,Caraquet,4,To discuss constituency issues with stakeholders,Hosting a meeting,M0287599,Mitchan Sushi Inc.,196.80,"Cormier, Serge"
2021/11/12,Caraquet,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0287599,Resto L'Oriental,80.25,"Cormier, Serge"
2021/11/25,Ottawa,1,"To discuss business of the House, caucus and committees",Hosting a meeting,M0287599,Bier Markt,62.28,"Cormier, Serge"
2021/12/02,Petit Rocher,1,To discuss constituency issues with stakeholders,Hosting a meeting,M0287599,Auberge d'Anjou,42.40,"Cormier, Serge"
2021/12/04,Caraquet,1,To discuss constituency issues with stakeholders,Hosting a meeting,M0287599,Bobby Comptoir Lunch,22.00,"Cormier, Serge"
2021/08/11,Toronto,17,To meet constituents,Hosting a town hall or community event,M0281118,Select Bakery,21.75,"Dabrusin, Julie"
2021/09/29,Toronto,6,To plan Member's priorities and activities,Hosting a staff event,M0281118,Fresh Catering Company,23.65,"Dabrusin, Julie"
2021/04/01,Maple Ridge,0,To meet constituents,Hosting a meeting,M0285198,Walmart,60.12,"Dalton, Marc"
2021/04/01,Maple Ridge,0,To meet visitors of Member’s office,Hosting a meeting,M0283587,Walmart,33.26,"Dalton, Marc"
2021/10/17,Oakville,100,To discuss constituency issues with stakeholders,Meal at a community activity or event,M0281482,Home Suite Hope,100.00,"Damoff, Pam"
2021/10/29,Oakville,100,To meet constituents,Hosting a town hall or community event,M0281726,Louise Claire Johnson,100.00,"Damoff, Pam"
2021/12/13,Ottawa,3,To meet visitors of Member’s office,Hosting a meeting,M0287131,Bridgehead,18.00,"Damoff, Pam"
2021/04/01,Holland Landing,0,To meet visitors of Member’s office,Hosting a meeting,M0285128,Real Canadian SuperStore,29.99,"Davidson, Scot"
2021/04/01,Salaberry-de-Valleyfield,0,To meet visitors of Member’s office,Hosting a meeting,M0285720,Metro,7.58,"DeBellefeuille, Claude"
2021/06/28,Ormstown,9,To plan Member's priorities and activities,Hosting a meeting,M0285720,La petite Grange,47.90,"DeBellefeuille, Claude"
2021/09/30,Salaberry-de-Valleyfield,4,To plan Member's priorities and activities,Hosting a meeting,M0282614,Mikes Valleyfield,112.24,"DeBellefeuille, Claude"
2021/10/07,Salaberry-de-Valleyfield,5,To plan Member's priorities and activities,Hosting a meeting,M0281662,Les Moulins La Fayette,93.90,"DeBellefeuille, Claude"
2021/10/15,Salaberry-de-Valleyfield,100,To meet constituents,Hosting a meeting,M0282614,Super C,30.11,"DeBellefeuille, Claude"
2021/10/15,Salaberry-de-Valleyfield,100,To meet constituents,Hosting a meeting,M0283771,Super C,29.99,"DeBellefeuille, Claude"
2021/10/16,Coteau-du-Lac,1,To meet constituents,Hosting a town hall or community event,M0282614,La Belle de Coteau-du-Lac,20.00,"DeBellefeuille, Claude"
2021/10/18,Salaberry-de-Valleyfield,3,To discuss constituency issues with stakeholders,Meal at a community activity or event,M0283771,Chambre de Commerce Beuharnois-Valleyfield--Haut St-Laurent,321.00,"DeBellefeuille, Claude"
2021/10/26,Ottawa,8,To attend staff events including training,Hosting a staff event,M0283324,Service de Restauration,440.90,"DeBellefeuille, Claude"
2021/11/11,Salaberry-de-Valleyfield,8,To meet visitors of Member’s office,Hosting a town hall or community event,M0285479,Tim Horton # 155,28.98,"DeBellefeuille, Claude"
2021/11/19,Salaberry-de-Valleyfield,5,To plan Member's priorities and activities,Hosting a meeting,M0285479,St-Hubert Valleyfield,129.44,"DeBellefeuille, Claude"
2021/04/01,La Malbaie,0,To meet visitors of Member’s office,Hosting a meeting,M0286279,Métro La Malbaie,22.48,"Desbiens, Caroline"
2021/04/01,Sainte-Anne-de-Beaupré,0,To meet visitors of Member’s office,Hosting a meeting,M0286220,Nespresso,58.20,"Desbiens, Caroline"
2021/04/01,Sainte-Anne-de-Beaupré,0,To meet visitors of Member’s office,Hosting a meeting,M0283441,Dépanneur Couche-Tard 586,4.69,"Desbiens, Caroline"
2021/10/05,Sainte-Anne-de-Beaupré,10,To discuss constituency issues with stakeholders,Hosting a meeting,M0281345,IGA Sainte-Anne-de-Beaupré,119.70,"Desbiens, Caroline"
2021/11/18,Sainte-Anne-de-Beaupré,20,To meet visitors of Member’s office,Hosting a meeting,M0285601,IGA Chouinard Ste-Anne-de-Beaupré,61.96,"Desbiens, Caroline"
2021/11/20,Boischatel,0,To celebrate a significant event,"Meal at a gala, reception or ceremony",M0285072,Municipalité de Boischatel,35.00,"Desbiens, Caroline"
2021/11/25,Sainte-Anne-de-Beaupré,0,To discuss constituency issues with stakeholders,Meal at a community activity or event,M0285629,Eventbrite,20.00,"Desbiens, Caroline"
2021/04/01,Saint-Eustache,0,To meet visitors of Member’s office,Hosting a meeting,M0284574,Nespresso,43.00,"Desilets, Luc"
2021/04/01,Saint-Eustache,0,To meet visitors of Member’s office,Hosting a meeting,M0286613,Nespresso,26.95,"Desilets, Luc"
2021/09/28,Rosemère,3,To plan Member's priorities and activities,Hosting a meeting,M0283187,Boucherie Lorrain,79.95,"Desilets, Luc"
2021/10/22,Ottawa,10,To meet visitors of Member’s office,Hosting a meeting,M0283021,Alimentation Ghislain Campeau Inc.,24.56,"Desilets, Luc"
2021/11/10,Saint-Eustache,0,To meet constituents,Meal at a community activity or event,M0285006,Chambre de commerce et d'industrie MRC de Deux-Montagnes,65.00,"Desilets, Luc"
2021/11/19,Saint-Eustache,4,To plan Member's priorities and activities,Hosting a meeting,M0286614,noire et blanche,138.68,"Desilets, Luc"
2021/12/07,Laval,0,To meet constituents,Meal at a community activity or event,M0285055,AQDR LAVAL,30.00,"Desilets, Luc"
2021/04/01,Surrey,0,To meet visitors of Member’s office,Hosting a meeting,M0279355,Save on Foods,23.89,"Dhaliwal, Sukh"
2021/11/23,Ottawa,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0286719,Fairmont Chateau Laurier - Zoe's Lounge,90.72,"Dhaliwal, Sukh"
2021/11/23,Ottawa,4,"To discuss business of the House, caucus and committees",Hosting a meeting,M0286719,Joey Rideau,343.87,"Dhaliwal, Sukh"
2021/04/01,Prince George,0,To meet visitors of Member’s office,Hosting a meeting,M0280896,Shoppers Drug Mart,11.97,"Doherty, Todd"
2021/04/01,Prince George,0,To meet visitors of Member’s office,Hosting a meeting,M0280896,Loblaws,36.46,"Doherty, Todd"
2021/04/01,Prince George,0,To meet visitors of Member’s office,Hosting a meeting,M0280896,Costco,138.58,"Doherty, Todd"
2021/10/07,Ottawa,8,To plan Member's priorities and activities,Hosting a meeting,M0281636,Gabriel Pizza #205,93.48,"Doherty, Todd"
2021/11/09,Ottawa,10,"To discuss business of the House, caucus and committees",Hosting a meeting,M0283940,Tim Hortons,39.38,"Drouin, Francis"
2021/04/01,Montréal-Nord,0,To meet visitors of Member’s office,Hosting a meeting,M0283900,Walmart,12.88,"Dubourg, Emmanuel"
2021/04/01,Montréal-Nord,0,To meet constituents,Hosting a meeting,M0283900,Charcuterie Noel Inc,30.11,"Dubourg, Emmanuel"
2021/10/06,Sherbrooke,3,To meet constituents,Meal at a community activity or event,M0284031,ST-HUBERT CADILLAC,173.24,"Dubourg, Emmanuel"
2021/10/13,Saint-Laurent,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0284031,RESTAURANT DAOU,155.06,"Dubourg, Emmanuel"
2021/10/20,Saint-Hubert,2,To exchange with dignitaries,Hosting a meeting,M0284031,RESTAURANT PICOLINA,115.62,"Dubourg, Emmanuel"
2021/11/09,Montréal-Nord,4,To meet visitors of Member’s office,Hosting a reception or open house,M0283900,WALMART,22.81,"Dubourg, Emmanuel"
2021/11/14,Montreal,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0284031,ZAGRUM,55.04,"Dubourg, Emmanuel"
2021/04/01,Québec,1,To meet constituents,Hosting a meeting,M0283645,Marché tradition,11.78,"Duclos, Jean-Yves"
2021/10/22,Winnipeg,5,To plan Member's priorities and activities,Hosting a meeting,M0285288,Sobeys,23.48,"Duguid, Terry"
2021/10/06,Ottawa,10,"To discuss business of the House, caucus and committees",Hosting a meeting,M0283539,Pizza Pizza,46.92,"Duncan, Eric"
2021/12/11,Toronto,200,To meet constituents,Hosting a reception or open house,M0287563,DOLLARAMA,3.00,"Dzerowicz, Julie"
2021/12/11,Toronto,200,To meet constituents,Hosting a reception or open house,M0287563,CANADIAN TIRE,79.99,"Dzerowicz, Julie"
2021/12/11,Toronto,200,To meet constituents,Hosting a reception or open house,M0287563,PARTY CITY,22.99,"Dzerowicz, Julie"
2021/12/11,Toronto,200,To meet constituents,Hosting a reception or open house,M0287563,AMAZON,42.99,"Dzerowicz, Julie"
2020/04/01,Toronto,0,To meet visitors of Member’s office,Hosting a meeting,M0285153,Longos supermarket,9.99,"Ehsassi, Ali"
2021/10/12,Toronto,9,To discuss constituency issues with stakeholders,Hosting a meeting,M0282680,M2M supermarket,12.99,"Ehsassi, Ali"
2021/10/12,Toronto,9,To discuss constituency issues with stakeholders,Hosting a meeting,M0282680,Canaan Cake Centre -  11 Spring Garden Ave. North York 416-223-2253,33.00,"Ehsassi, Ali"
2021/11/19,Toronto,5,To plan Member's priorities and activities,Hosting a meeting,M0285153,Pizzaiola,37.15,"Ehsassi, Ali"
2021/12/09,Ottawa,3,To plan Member's priorities and activities,Hosting a staff event,M0286930,FOOD SERVICES OTTAWA,27.35,"El-Khoury, Fayçal"
2021/10/04,Leamington,4,To plan Member's priorities and activities,Hosting a staff event,M0282734,Crave Family Grill,76.00,"Epp, Dave"
2021/12/05,Leamington,6,To plan Member's priorities and activities,Hosting a staff event,M0286247,Jose's Bar and Grill,133.74,"Epp, Dave"
2021/12/08,Chatham,1,To meet constituents,Hosting a meeting,M0287673,Canada's Finest Coffee,114.00,"Epp, Dave"
2021/05/24,Toronto,26,To celebrate a significant event,Meal at a community activity or event,M0279248,Subway,338.60,"Erskine-Smith, Nathaniel"
2021/05/24,Toronto,16,To celebrate a significant event,Meal at a community activity or event,M0279248,Subway,264.70,"Erskine-Smith, Nathaniel"
2021/04/01,Lloydminster,0,To meet visitors of Member’s office,Hosting a meeting,M0284378,Real Canadian Superstore,12.69,"Falk, Rosemarie"
2021/09/21,Lloydminster,0,To meet constituents,Hosting a reception or open house,M0287471,Real Canadian Superstore,25.77,"Falk, Rosemarie"
2021/07/28,Winnipeg,30,To meet constituents,Hosting a meeting,M0281002,Hilton Garden Inn Winnipeg South,29.83,"Falk, Ted"
2021/08/12,Steinbach,5,To attend staff events including training,Hosting a meeting,M0281004,Chicken Chef,63.13,"Falk, Ted"
2021/11/02,Steinbach,6,To celebrate a significant event,Hosting a staff event,M0284549,Dairy Queen,28.56,"Falk, Ted"
2021/11/02,Steinbach,6,To celebrate a significant event,Hosting a staff event,M0284549,Doener Grill Express,89.15,"Falk, Ted"
2021/11/05,Steinbach,4,To plan Member's priorities and activities,Hosting a staff event,M0284549,KFC,24.05,"Falk, Ted"
2021/04/01,Abbotsford,0,To meet visitors of Member’s office,Hosting a meeting,M0283965,Nespresso,77.00,"Fast, Ed"
2021/09/17,Abbotsford,3,To meet constituents,Hosting a meeting,M0282644,Nespresso,77.00,"Fast, Ed"
2021/09/17,Abbotsford,3,To meet constituents,Hosting a meeting,M0281310,Nespresso,41.15,"Fast, Ed"
2021/10/04,Ottawa,3,"To discuss business of the House, caucus and committees",Hosting a meeting,M0282148,Baton Rouge,180.16,"Fast, Ed"
2021/10/26,Ottawa,3,"To discuss business of the House, caucus and committees",Hosting a meeting,M0283152,Parliamentary Restaurant,186.05,"Fast, Ed"
2021/04/01,Gatineau,0,To meet visitors of Member’s office,Hosting a meeting,M0281472,Marché Wakin,50.03,"Fergus, Greg"
2021/10/23,Aylmer,1,To meet constituents,Meal at a community activity or event,M0281470,The Royal Canadian Legion Aylmer Branch,120.00,"Fergus, Greg"
2021/11/11,Aylmer,1,To celebrate a significant event,Meal at a community activity or event,M0286616,Fondotion québécoise du concer,250.00,"Fergus, Greg"
2021/11/15,Aylmer,40,To meet constituents,Hosting a reception or open house,M0285323,"British Hotel Corp., The",519.20,"Fergus, Greg"
2021/11/15,Aylmer,40,To meet constituents,Hosting a reception or open house,M0285323,"Gregory, Nathalie",110.00,"Fergus, Greg"
2021/12/06,Ottawa,20,To plan Member's priorities and activities,Hosting a meeting,M0286601,Maxi,145.59,"Fergus, Greg"
2021/12/06,Ottawa,20,To plan Member's priorities and activities,Hosting a meeting,M0286616,Alégria,285.60,"Fergus, Greg"
2021/12/08,Hull,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0286724,LA Squadra,88.09,"Fergus, Greg"
2021/09/21,Peterborough,0,To meet visitors of Member’s office,Hosting a meeting,M0286303,Walmart,10.34,"Ferreri, Michelle"
2021/04/01,Halifax,0,To meet visitors of Member’s office,Hosting a meeting,M0287529,Costco,16.99,"Fillmore, Andy"
2021/08/07,Halifax,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0281845,Miel et Burre Breakfast,37.25,"Fillmore, Andy"
2021/08/11,Halifax,2,To meet constituents,Hosting a meeting,M0281845,Mercantile social,49.00,"Fillmore, Andy"
2021/10/02,Halifax,12,To discuss constituency issues with stakeholders,Hosting a meeting,M0281844,Agricola st brassierie,633.45,"Fillmore, Andy"
2021/10/25,Halifax,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0282947,Ardmore Tea Room,39.67,"Fillmore, Andy"
2021/11/10,Halifax,10,To discuss constituency issues with stakeholders,Hosting a meeting,M0285010,Ristorante A Mano,47.73,"Fillmore, Andy"
2021/11/11,Halifax,4,To meet constituents,Meal at a community activity or event,M0285007,Steak and Stein,33.47,"Fillmore, Andy"
2021/11/15,Ottawa,8,"To discuss business of the House, caucus and committees",Hosting a meeting,M0285007,The Claredon Tavern,186.00,"Fillmore, Andy"
2021/11/17,Halifax,4,To discuss constituency issues with stakeholders,Hosting a meeting,M0287870,Cha Baa Thai,52.30,"Fillmore, Andy"
2021/11/19,Halifax,6,"To discuss business of the House, caucus and committees",Hosting a meeting,M0285007,Smyrna,86.50,"Fillmore, Andy"
2021/12/07,Halifax,0,To discuss constituency issues with stakeholders,Meal at a community activity or event,M0287509,Phoenix Youth Programs,95.00,"Fillmore, Andy"
2021/12/08,Halifax,6,To discuss constituency issues with stakeholders,Hosting a meeting,M0287870,Black Sheep,51.75,"Fillmore, Andy"
2021/12/10,Halifax,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0287870,Bird's Nest Cafe,10.95,"Fillmore, Andy"
2021/08/04,Surrey,100,To meet constituents,Hosting a town hall or community event,M0281685,Catering Visions,2808.40,"Findlay, Kerry-Lynne"
2021/08/05,Surrey,120,To meet constituents,Hosting a town hall or community event,M0278183,Safeway,25.99,"Findlay, Kerry-Lynne"
2021/08/06,White Rock,100,To meet constituents,Hosting a town hall or community event,M0278183,Surdel Party Rentals,192.60,"Findlay, Kerry-Lynne"
2021/08/06,White Rock,100,To meet constituents,Hosting a town hall or community event,M0281685,Catering Visions,2407.20,"Findlay, Kerry-Lynne"
2021/08/07,Surrey,100,To meet constituents,Hosting a town hall or community event,M0286962,Apna Indian Kitchen,1800.00,"Findlay, Kerry-Lynne"
2021/08/07,Surrey,100,To meet constituents,Hosting a town hall or community event,M0278183,Safeway,29.75,"Findlay, Kerry-Lynne"
2021/08/13,Surrey,50,To meet constituents,Hosting a town hall or community event,M0278183,Save-On-Foods,19.96,"Findlay, Kerry-Lynne"
2021/09/22,Ottawa,0,"To discuss business of the House, caucus and committees",Hosting a meeting,M0286884,Metro Grocery,41.10,"Findlay, Kerry-Lynne"
2021/09/22,Ottawa,0,"To discuss business of the House, caucus and committees",Hosting a meeting,M0286884,Independent Grocery,33.18,"Findlay, Kerry-Lynne"
2021/10/01,Ottawa,2,"To discuss business of the House, caucus and committees",Hosting a staff event,M0281756,3 Brewers (Sparks),51.30,"Findlay, Kerry-Lynne"
2021/10/19,Surrey,2,To meet constituents,Hosting a meeting,M0287250,Walmart,18.63,"Findlay, Kerry-Lynne"
2021/10/19,Surrey,2,To meet constituents,Hosting a meeting,M0282348,Real Canadian Superstore,6.31,"Findlay, Kerry-Lynne"
2021/11/04,Dartmouth,3,To discuss constituency issues with stakeholders,Meal at a community activity or event,M0283085,Greater Burnside Business Association,120.00,"Fisher, Darren"
2021/09/28,Ottawa,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0282822,Metropolitain Brasserie,83.03,"Fortier, Mona"
2021/10/01,Ottawa,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0282822,Ola Cocina Taqueria,46.78,"Fortier, Mona"
2021/10/12,Ottawa,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0282822,Metropolitain Brasserie,63.16,"Fortier, Mona"
2021/10/20,Ottawa,5,To plan Member's priorities and activities,Hosting a staff event,M0283456,Epicuria Food Shop and Catering,114.00,"Fortier, Mona"
2021/04/01,Saint-Jérôme,0,To meet visitors of Member’s office,Hosting a meeting,M0287137,Pharmaprix,72.94,"Fortin, Rhéal"
2021/04/01,Saint-Jérôme,0,To meet visitors of Member’s office,Hosting a meeting,M0281139,Pharmaprix,59.94,"Fortin, Rhéal"
2021/04/01,Saint-Jérôme,0,To meet visitors of Member’s office,Hosting a meeting,M0284545,Pharmaprix,77.94,"Fortin, Rhéal"
2021/09/28,Saint-Jérôme,1,To meet constituents,Hosting a meeting,M0281194,Le Soleo,44.55,"Fortin, Rhéal"
2021/09/29,Saint-Jérôme,4,To plan Member's priorities and activities,Hosting a meeting,M0281194,Excellent Bistro,88.95,"Fortin, Rhéal"
2021/10/08,Saint-Sauveur,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0282383,Obodum,55.35,"Fortin, Rhéal"
2021/10/15,Saint-Jérôme,2,To plan Member's priorities and activities,Hosting a meeting,M0282383,Pacini,77.38,"Fortin, Rhéal"
2021/10/20,Saint-Jérôme,1,To meet constituents,Hosting a meeting,M0282383,Le Soleo,59.80,"Fortin, Rhéal"
2021/10/21,Ottawa,5,To celebrate a significant event,Hosting a meeting,M0282524,L3B Sparks,143.20,"Fortin, Rhéal"
2021/10/29,Saint-Jérôme,2,To plan Member's priorities and activities,Hosting a meeting,M0283051,St-Hubert,82.01,"Fortin, Rhéal"
2021/11/05,Saint-Jérôme,3,To plan Member's priorities and activities,Hosting a meeting,M0283681,Dieu du Ciel,99.63,"Fortin, Rhéal"
2021/11/12,Prévost,1,To discuss constituency issues with stakeholders,Hosting a meeting,M0284537,Le Rusé Renard,27.67,"Fortin, Rhéal"
2021/11/17,Saint-Jérôme,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0284772,St-Hubert,118.20,"Fortin, Rhéal"
2021/12/03,Saint-Sauveur,4,To celebrate a significant event,Hosting a staff event,M0286368,Courtemanche,174.90,"Fortin, Rhéal"
2021/04/01,Sainte-Agathe-des-Monts,0,To meet constituents,Hosting a meeting,M0285351,Maxi Sainte-Agathe-des-Monts,13.97,"Gaudreau, Marie-Hélène"
2021/04/01,Mont-Laurier,0,To meet visitors of Member’s office,Hosting a meeting,M0282790,Tigre geant,26.95,"Gaudreau, Marie-Hélène"
2021/10/13,Mont-Laurier,2,To plan Member's priorities and activities,Hosting a meeting,M0282287,Lémarettes,88.00,"Gaudreau, Marie-Hélène"
2021/11/17,Mont-Laurier,5,To plan Member's priorities and activities,Hosting a staff event,M0285662,Micro-brasserie du Lièvre,179.40,"Gaudreau, Marie-Hélène"
2021/11/26,Mont-Laurier,1,To discuss constituency issues with stakeholders,Meal at a community activity or event,M0283401,Chambre de commerce de Mont-Laurier,18.00,"Gaudreau, Marie-Hélène"
2021/12/12,Val-Morin,1,To meet constituents,Meal at a community activity or event,M0285711,Les Joyeux aînés de Val-Morin,100.00,"Gaudreau, Marie-Hélène"
2021/11/07,Winnipeg,0,To celebrate a significant event,"Meal at a gala, reception or ceremony",M0283880,Canadian Centre for Policy Alternatives,50.00,"Gazan, Leah"
2021/11/13,La Pocatière,0,To meet constituents,Meal at a community activity or event,M0284006,Fondation de l'Hôpital de Notre-Dame-de-Fatima,125.00,"Généreux, Bernard"
2021/04/09,Sherwood Park,20,To meet constituents,Hosting a reception or open house,M0284069,Costco,21.78,"Genuis, Garnett"
2021/05/21,Sherwood Park,7,To plan Member's priorities and activities,Hosting a staff event,M0283487,Headquarters,162.63,"Genuis, Garnett"
2021/07/16,Sherwood Park,5,To plan Member's priorities and activities,Hosting a staff event,M0283487,Thai Express,75.65,"Genuis, Garnett"
2021/07/30,Sherwood Park,3,To plan Member's priorities and activities,Hosting a staff event,M0284931,Headquarters Restaurant ,46.97,"Genuis, Garnett"
2021/10/06,Ottawa,10,"To discuss business of the House, caucus and committees",Hosting a meeting,M0282435,Pizza Pizza,57.25,"Genuis, Garnett"
2021/10/06,Ottawa,10,"To discuss business of the House, caucus and committees",Hosting a meeting,M0284933,LCBO,47.85,"Genuis, Garnett"
2021/10/12,Kingston,4,To discuss constituency issues with stakeholders,Hosting a meeting,M0281739,Union,138.54,"Gerretsen, Mark"
2021/11/03,Kingston,4,To plan Member's priorities and activities,Hosting a meeting,M0283431,ULINE CANADA CORPORATION,60.00,"Gerretsen, Mark"
2021/12/04,Kingston,10,To celebrate a significant event,Hosting a meeting,M0286348,Costco Wholesale,193.47,"Gerretsen, Mark"
2021/12/04,Kingston,10,To celebrate a significant event,Hosting a meeting,M0286348,Bulk Barn,26.47,"Gerretsen, Mark"
2021/12/04,Kingston,1,To discuss constituency issues with stakeholders,Hosting a meeting,M0286349,King Street Sizzle,29.42,"Gerretsen, Mark"
2021/12/04,Kingston,10,To celebrate a significant event,Hosting a meeting,M0286348,Bread and Butter Bakery,166.95,"Gerretsen, Mark"
2021/12/04,Kingston,10,To celebrate a significant event,Hosting a meeting,M0286348,Harmony Flavours,120.00,"Gerretsen, Mark"
2020/04/01,Ottawa,0,To meet visitors of Member’s office,Hosting a meeting,M0285704,Costco ,51.05,"Gill, Marilène"
2021/04/01,Ottawa,0,To meet visitors of Member’s office,Hosting a meeting,M0285070,Walmart ,22.03,"Gill, Marilène"
2021/10/21,Sept-Îles,6,To discuss constituency issues with stakeholders,Hosting a meeting,M0281815,IGA,14.55,"Gill, Marilène"
2021/10/26,Ottawa,10,To discuss constituency issues with stakeholders,Hosting a meeting,M0283554,Serv. de restauration ,457.36,"Gill, Marilène"
2021/10/29,Montreal,1,To plan Member's priorities and activities,"Meal at a gala, reception or ceremony",M0285070,CCM,250.00,"Gill, Marilène"
2021/12/09,Ottawa,4,To discuss constituency issues with stakeholders,Hosting a meeting,M0287009,Restaurant du parlement,192.09,"Gill, Marilène"
2021/12/11,Gatineau,6,To celebrate a significant event,Hosting a meeting,M0287286,Coqlicorne,345.00,"Gill, Marilène"
2021/08/03,Sarnia,50,To meet constituents,Hosting a town hall or community event,M0279987,Petrolia Lions,2249.00,"Gladu, Marilyn"
2021/10/29,Sarnia,5,To meet constituents,Hosting a meeting,M0284175,Lola's Lounge,456.30,"Gladu, Marilyn"
2021/09/14,Saint-Augustin-de-Desmaures,0,To meet constituents,Hosting a meeting,M0282991,Costco Wholesale,36.49,"Godin, Joël"
2021/10/08,Sainte-Foy,3,To meet constituents,Hosting a meeting,M0282991,Restaurant Normandin,34.37,"Godin, Joël"
2021/10/20,Québec,2,To meet constituents,Hosting a meeting,M0282991,BOULANGERIE LA MÈRE MICHELE,31.36,"Godin, Joël"
2021/10/28,Saint-Augustin-de-Desmaures,0,To meet constituents,Hosting a meeting,M0282991,Costco Wholesale,39.99,"Godin, Joël"
2021/10/20,Burlington,1,To meet constituents,Meal at a community activity or event,M0284827,Burlington Chamber of Commerce,50.00,"Gould, Karina"
2021/10/25,Ottawa,10,To plan Member's priorities and activities,Hosting a staff event,M0284839,Loblaws,133.60,"Gould, Karina"
2021/10/26,Ottawa,10,To plan Member's priorities and activities,Hosting a staff event,M0284839,Thali,420.00,"Gould, Karina"
2021/10/27,Burlington,5,To plan Member's priorities and activities,Hosting a meeting,M0284827,Denninger's,16.99,"Gould, Karina"
2021/09/24,Charny,11,To discuss constituency issues with stakeholders,Hosting a meeting,M0281244,Express du sud,161.74,"Gourde, Jacques"
2021/09/27,Levis,4,To discuss constituency issues with stakeholders,Hosting a meeting,M0281244,RESTO PUB LE 2000,70.34,"Gourde, Jacques"
