"Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total,MP Office"
2021/06/11,Ottawa,4,"To discuss business of the House, caucus and committees",Hosting a meeting,M0272915,Mill Street Brew Pub,146.42,"Calkins, Blaine"
2021/04/01,Winnipeg,0,To meet visitors of Member’s office,Hosting a meeting,M0268774,LILAC FOODFARE,47.34,"Carr, Jim"
2021/04/01,Winnipeg,0,To meet visitors of Member’s office,Hosting a meeting,M0268776,LILAC FOODFARE,1.75,"Carr, Jim"
2021/04/01,Winnipeg,0,To meet visitors of Member’s office,Hosting a meeting,M0271009,SAVE ON FOODS,3.44,"Carr, Jim"
2021/04/01,Winnipeg,0,To meet visitors of Member’s office,Hosting a meeting,M0272484,SEVEN-11,1.65,"Carr, Jim"
2021/04/01,Winnipeg,0,To meet visitors of Member’s office,Hosting a meeting,M0271773,TIM HORTONS,37.98,"Carr, Jim"
2021/05/19,Charlottetown,6,To meet constituents,Hosting a meeting,M0271518,The Gahan House,112.68,"Casey, Sean"
2021/06/02,Sainte-Thérèse,1,To celebrate a significant event,Meal at a community activity or event,M0271873,CCITB,50.00,"Chabot, Louise"
2020/04/01,La Tuque,0,To meet visitors of Member’s office,Hosting a meeting,M0267678,MAXI,18.16,"Champagne, François-Philippe"
2021/02/23,Shawinigan,1,To meet constituents,Meal at a community activity or event,M0268278,Chambre de Commerce et de l'industrie de Shawinigan,30.00,"Champagne, François-Philippe"
2021/04/01,Drummondville,0,To meet visitors of Member’s office,Hosting a meeting,M0269879,Maxi,8.96,"Champoux, Martin"
2021/04/23,Drummondville,1,"To discuss business of the House, caucus and committees",Hosting a meeting,M0269879,Capiche,37.52,"Champoux, Martin"
2021/05/14,Drummondville,1,To discuss constituency issues with stakeholders,Hosting a meeting,M0272130,À la bonne vôtre,52.00,"Champoux, Martin"
2021/04/01,Trois-Rivières,0,To meet visitors of Member’s office,Hosting a meeting,M0270610,Les Gloutonneries,2.00,"Charbonneau, Louise"
2021/04/01,Trois-Rivières,0,To meet visitors of Member’s office,Hosting a meeting,M0270610,Jean-Coutu,2.89,"Charbonneau, Louise"
2021/04/01,Trois-Rivières,0,To meet visitors of Member’s office,Hosting a meeting,M0271584,les Gloutonneries,5.50,"Charbonneau, Louise"
2021/06/02,Trois-Rivières,4,To meet constituents,Meal at a community activity or event,M0271605,COMSEP,125.00,"Charbonneau, Louise"
2021/04/01,Richmond,0,To meet visitors of Member’s office,Hosting a meeting,M0269273,Save-On-Foods,37.29,"Chiu, Kenny"
2021/04/07,Richmond,4,To meet constituents,Hosting a town hall or community event,M0270363,Pokey Okey,38.15,"Chiu, Kenny"
2021/04/07,Richmond,4,To meet constituents,Hosting a town hall or community event,M0270363,Subway,37.84,"Chiu, Kenny"
2021/04/08,Richmond,4,To meet constituents,Hosting a town hall or community event,M0270363,Hoke Poke & TeaBar,47.26,"Chiu, Kenny"
2021/04/09,Richmond,4,To meet constituents,Hosting a town hall or community event,M0270363,Happy Day Cafe,55.31,"Chiu, Kenny"
2021/04/01,Ottawa,0,To meet visitors of Member’s office,Hosting a meeting,M0273180,Shoppers Drug Mart,25.22,"Cumming, James"
2021/04/01,Maple Ridge,0,To meet visitors of Member’s office,Hosting a meeting,M0268259,Walmart,3.14,"Dalton, Marc"
2021/05/01,Maple Ridge,2,To meet constituents,Meal at a community activity or event,M0270620,Meadow Ridge Rotary Wine Festival,213.30,"Dalton, Marc"
2021/04/01,Winnipeg,0,To meet visitors of Member’s office,Hosting a meeting,M0267348,Costco,97.09,"Dancho, Raquel"
2021/04/01,Holland Landing,0,To meet constituents,Hosting a meeting,M0266703,Bed Bath and Beyond,29.99,"Davidson, Scot"
2021/04/17,Vancouver,1,To meet constituents,Hosting a meeting,M0272888,Havana,39.93,"Davies, Don"
2021/05/24,Vancouver,2,To meet constituents,Hosting a meeting,M0272888,Prado Cafe,21.42,"Davies, Don"
2021/04/01,Salaberry-de-Valleyfield,0,To meet visitors of Member’s office,Hosting a meeting,M0271955,Metro,4.29,"DeBellefeuille, Claude"
2021/04/01,Ottawa,0,To meet visitors of Member’s office,Hosting a meeting,M0271955,Metro,10.25,"DeBellefeuille, Claude"
2021/06/04,Salaberry-de-Valleyfield,15,To meet constituents,Hosting a town hall or community event,M0273207,Les Moulins Lafayette,69.96,"DeBellefeuille, Claude"
2021/04/01,La Malbaie,0,To meet visitors of Member’s office,Hosting a meeting,M0269260,Métro alimentation Sylvain Bolduc,30.63,"Desbiens, Caroline"
2021/06/05,Beauport,3,To discuss constituency issues with stakeholders,Meal at a community activity or event,M0271249,Chevaliers de Colomb Conseil 8098 de Lisieux,320.00,"Desbiens, Caroline"
2021/07/09,Baie-Saint-Paul,2,To meet constituents,Meal at a community activity or event,M0271241,Fondation Hôpital de Baie-Saint-Paul,375.00,"Desbiens, Caroline"
2021/02/25,Saint-Eustache,1,To discuss constituency issues with stakeholders,Meal at a community activity or event,M0271515,Ma cabane à la maison,99.99,"Desilets, Luc"
2021/05/20,Saint-Eustache,7,To plan Member's priorities and activities,Hosting a meeting,M0273039,Lalonde et filles ,88.00,"Desilets, Luc"
2021/05/28,Saint-Eustache,0,To meet constituents,Meal at a community activity or event,M0271451,Fondation Émile-Z-Laviolette,60.00,"Desilets, Luc"
2021/04/01,Surrey,0,To meet visitors of Member’s office,Hosting a meeting,M0269459,Save-on-Foods,62.38,"Dhaliwal, Sukh"
2021/04/01,Prince George,0,To meet visitors of Member’s office,Hosting a meeting,M0269853,Shoppers Drug Mart,5.89,"Doherty, Todd"
2021/04/01,Prince George,0,To meet visitors of Member’s office,Hosting a meeting,M0269853,Costco,36.99,"Doherty, Todd"
2021/05/25,Prince George,6,To discuss constituency issues with stakeholders,Hosting a meeting,M0272131,Browns Social House restaurant,290.14,"Doherty, Todd"
