claim_id,from_date,end_date,transport_cost,accommodation_cost,meals_and_incidentals_cost,reg_points_used,special_points_used,USA_points_used,total_cost,mp_office
200488900,2021/04/01,2021/04/30,0.0000,1820.0000,0.0000,0,0,0,1820.00,"Barlow, John"
200491815,2021/05/01,2021/05/31,0.0000,1820.0000,0.0000,0,0,0,1820.00,"Barlow, John"
200498346,2021/06/01,2021/06/30,0.0000,1820.0000,0.0000,0,0,0,1820.00,"Barlow, John"
200503104,2021/07/01,2021/07/31,0.0000,1820.0000,0.0000,0,0,0,1820.00,"Barlow, John"
T0212021,2021/04/05,2021/04/16,541.5000,0.0000,95.3100,5.0000,0,0,636.81,"Barrett, Michael"
T0212277,2021/04/19,2021/04/23,324.9000,0.0000,57.1900,3.0000,0,0,382.09,"Barrett, Michael"
T0212355,2021/04/26,2021/04/30,433.2000,0.0000,153.9300,4.0000,0,0,587.13,"Barrett, Michael"
T0212517,2021/05/03,2021/05/07,433.2000,0.0000,138.0400,4.0000,0,0,571.24,"Barrett, Michael"
T0212673,2021/05/10,2021/05/14,433.2000,0.0000,169.3800,4.0000,0,0,602.58,"Barrett, Michael"
T0212872,2021/05/24,2021/05/28,324.9000,0.0000,150.3100,3.0000,0,0,475.21,"Barrett, Michael"
T0213099,2021/05/31,2021/06/04,324.9000,0.0000,103.5300,3.0000,0,0,428.43,"Barrett, Michael"
T0213470,2021/06/04,2021/06/16,294.5200,0.0000,0.0000,0.0000,0,0,294.52,"Barrett, Michael"
T0213339,2021/06/07,2021/06/11,216.6000,0.0000,134.6400,2.0000,0,0,351.24,"Barrett, Michael"
200488901,2021/04/01,2021/04/30,0.0000,1350.0000,0.0000,0,0,0,1350.00,"Barsalou-Duval, Xavier"
T0212123,2021/04/12,2021/04/15,211.1300,0.0000,400.5400,1.0000,0,0,611.67,"Barsalou-Duval, Xavier"
200491816,2021/05/01,2021/05/31,0.0000,1350.0000,0.0000,0,0,0,1350.00,"Barsalou-Duval, Xavier"
T0212625,2021/05/10,2021/05/13,211.1300,0.0000,400.5400,1.0000,0,0,611.67,"Barsalou-Duval, Xavier"
T0213033,2021/06/01,2021/06/03,211.1300,0.0000,262.5000,1.0000,0,0,473.63,"Barsalou-Duval, Xavier"
200498347,2021/06/01,2021/06/30,0.0000,1350.0000,0.0000,0,0,0,1350.00,"Barsalou-Duval, Xavier"
200503105,2021/07/01,2021/07/31,0.0000,1350.0000,0.0000,0,0,0,1350.00,"Barsalou-Duval, Xavier"
T0211490,2021/04/06,2021/04/07,0.0000,0.0000,196.7500,0.0000,0,0,196.75,"Battiste, Jaime"
T0211489,2021/04/06,2021/04/07,0.0000,0.0000,196.7500,0,0.0000,0,196.75,"Battiste, Jaime"
T0211486,2021/04/06,2021/04/07,196.9200,215.0500,196.7500,0.0000,0,0,608.72,"Battiste, Jaime"
T0213278,2021/04/07,2021/06/09,93.3400,0.0000,0.0000,0.0000,0,0,93.34,"Battiste, Jaime"
T0213275,2021/04/07,2021/06/11,141.8400,0.0000,0.0000,0.0000,0.0000,0,141.84,"Battiste, Jaime"
T0212619,2021/05/17,2021/05/18,339.7400,110.2000,196.7500,0.0000,0,0,646.69,"Battiste, Jaime"
200488902,2021/04/01,2021/04/30,0.0000,1600.0000,0.0000,0,0,0,1600.00,"Beaulieu, Mario"
T0211937,2021/04/07,2021/04/08,211.1300,0.0000,195.3300,1.0000,0,0,406.46,"Beaulieu, Mario"
T0212326,2021/04/29,2021/04/30,211.1300,0.0000,200.2700,1.0000,0,0,411.40,"Beaulieu, Mario"
200491817,2021/05/01,2021/05/31,0.0000,1600.0000,0.0000,0,0,0,1600.00,"Beaulieu, Mario"
T0212328,2021/05/02,2021/05/03,422.2600,0.0000,195.3300,2.0000,0,0,617.59,"Beaulieu, Mario"
T0212439,2021/05/06,2021/05/06,56.5200,0.0000,0.0000,0,0.0000,0,56.52,"Beaulieu, Mario"
T0212815,2021/05/20,2021/05/21,211.1300,0.0000,195.3300,1.0000,0,0,406.46,"Beaulieu, Mario"
200498348,2021/06/01,2021/06/30,0.0000,1600.0000,0.0000,0,0,0,1600.00,"Beaulieu, Mario"
T0213347,2021/06/06,2021/06/10,211.1300,0.0000,500.6700,1.0000,0,0,711.80,"Beaulieu, Mario"
T0213346,2021/06/10,2021/06/11,211.1300,0.0000,195.3300,1.0000,0,0,406.46,"Beaulieu, Mario"
200503106,2021/07/01,2021/07/31,0.0000,1600.0000,0.0000,0,0,0,1600.00,"Beaulieu, Mario"
T0212186,2021/04/01,2021/04/26,0.0000,1300.0000,0.0000,0,0,0,1300.00,"Beech, Terry"
T0212406,2021/04/26,2021/04/30,0.0000,250.0000,0.0000,0,0,0,250.00,"Beech, Terry"
T0212869,2021/04/30,2021/05/31,0.0000,1600.0000,0.0000,0,0,0,1600.00,"Beech, Terry"
T0211534,2021/03/01,2021/03/31,0.0000,1550.0000,0.0000,0,0,0,1550.00,"Bendayan, Rachel"
T0212747,2021/03/29,2021/03/29,12.6100,0.0000,0.0000,0.0000,0,0,12.61,"Bendayan, Rachel"
T0212309,2021/04/01,2021/04/30,0.0000,1500.0000,0.0000,0,0,0,1500.00,"Bendayan, Rachel"
T0212284,2021/04/01,2021/04/30,0.0000,1500.0000,0.0000,0,0,0,1500.00,"Bennett, Hon. Carolyn"
T0212883,2021/05/01,2021/05/31,0.0000,1550.0000,0.0000,0,0,0,1550.00,"Bennett, Hon. Carolyn"
T0211623,2021/03/21,2021/04/20,0.0000,112.9900,0.0000,0,0,0,112.99,"Bergen, Hon. Candice"
T0212394,2021/03/21,2021/04/30,0.0000,1596.5900,0.0000,0,0,0,1596.59,"Bergen, Hon. Candice"
T0212222,2021/04/01,2021/04/30,222.5100,210.0000,419.4300,0.0000,0.0000,0,851.94,"Bergen, Hon. Candice"
T0212398,2021/04/25,2021/04/30,45.0000,0.0000,0.0000,0.0000,0,0,45.00,"Bergen, Hon. Candice"
T0212395,2021/04/25,2021/04/30,1307.2200,112.2800,310.5800,1.0000,0,0,1730.08,"Bergen, Hon. Candice"
T0212609,2021/05/01,2021/05/15,107.4200,0.0000,35.4600,0.0000,0,0,142.88,"Bergen, Hon. Candice"
T0212666,2021/05/01,2021/05/16,0.0000,800.0000,0.0000,0,0,0,800.00,"Bergen, Hon. Candice"
T0212928,2021/05/01,2021/05/31,237.3400,0.0000,202.9300,0.0000,0,0,440.27,"Bergen, Hon. Candice"
T0212653,2021/05/09,2021/05/15,2629.1700,0.0000,700.9400,2.0000,0,0,3330.11,"Bergen, Hon. Candice"
T0212989,2021/05/30,2021/06/04,2637.5300,624.3300,506.6100,2.0000,0,0,3768.47,"Bergen, Hon. Candice"
T0212271,2021/04/01,2021/04/30,0.0000,1500.0000,0.0000,0,0,0,1500.00,"Bergeron, Stéphane"
T0213382,2021/04/12,2021/04/15,211.1300,0.0000,284.7700,1.0000,0,0,495.90,"Bergeron, Stéphane"
T0212138,2021/04/18,2021/04/22,211.1300,0.0000,284.7700,1.0000,0,0,495.90,"Bergeron, Stéphane"
T0212272,2021/04/27,2021/04/30,211.1300,0.0000,266.1800,1.0000,0,0,477.31,"Bergeron, Stéphane"
T0212865,2021/05/01,2021/05/31,0.0000,1550.0000,0.0000,0,0,0,1550.00,"Bergeron, Stéphane"
T0212556,2021/05/03,2021/05/06,211.1300,0.0000,284.7700,1.0000,0,0,495.90,"Bergeron, Stéphane"
T0212580,2021/05/10,2021/05/13,211.1300,0.0000,284.7700,1.0000,0,0,495.90,"Bergeron, Stéphane"
T0212675,2021/05/20,2021/05/20,211.1300,0.0000,0.0000,1.0000,0,0,211.13,"Bergeron, Stéphane"
T0212823,2021/05/25,2021/05/27,211.1300,0.0000,202.1700,1.0000,0,0,413.30,"Bergeron, Stéphane"
T0212824,2021/05/28,2021/05/28,211.1300,0.0000,0.0000,1.0000,0,0,211.13,"Bergeron, Stéphane"
T0212977,2021/05/31,2021/06/03,211.1300,0.0000,284.7700,1.0000,0,0,495.90,"Bergeron, Stéphane"
T0213175,2021/06/06,2021/06/10,211.1300,0.0000,284.7700,1.0000,0,0,495.90,"Bergeron, Stéphane"
T0213381,2021/06/15,2021/06/17,211.1300,0.0000,202.1700,1.0000,0,0,413.30,"Bergeron, Stéphane"
T0213524,2021/06/20,2021/06/23,211.1300,0.0000,202.1700,1.0000,0,0,413.30,"Bergeron, Stéphane"
200488903,2021/04/01,2021/04/30,0.0000,1925.0000,0.0000,0,0,0,1925.00,"Berthold, Luc"
T0212992,2021/04/08,2021/05/20,316.9200,0.0000,0.0000,0,0.0000,0,316.92,"Berthold, Luc"
T0212164,2021/04/18,2021/04/23,396.9100,0.0000,473.8800,1.0000,0,0,870.79,"Berthold, Luc"
T0212338,2021/04/18,2021/04/23,460.6000,587.5000,338.7500,1.0000,0,0,1386.85,"Berthold, Luc"
200491818,2021/05/01,2021/05/31,0.0000,1925.0000,0.0000,0,0,0,1925.00,"Berthold, Luc"
T0212553,2021/05/03,2021/05/05,390.1000,0.0000,0.0000,0.0000,0,0,390.10,"Berthold, Luc"
T0212550,2021/05/03,2021/05/06,396.9100,0.0000,245.8900,1.0000,0,0,642.80,"Berthold, Luc"
T0212939,2021/05/24,2021/05/28,400.6500,0.0000,373.7500,1.0000,0,0,774.40,"Berthold, Luc"
200498349,2021/06/01,2021/06/30,0.0000,1925.0000,0.0000,0,0,0,1925.00,"Berthold, Luc"
T0213229,2021/06/05,2021/06/05,47.2700,0.0000,18.5900,0.0000,0.0000,0,65.86,"Berthold, Luc"
T0213461,2021/06/13,2021/06/19,396.9100,0.0000,415.7600,1.0000,0,0,812.67,"Berthold, Luc"
200503107,2021/07/01,2021/07/31,0.0000,1925.0000,0.0000,0,0,0,1925.00,"Berthold, Luc"
