Member
"Barrett, Michael"
"Michaud, Kristina"
"Longfield, Lloyd"
"Ellis, Stephen"
"McCauley, Kelly"
"McLeod, Michael"
"Waugh, Kevin"
"Shin, Nelly"
"Dong, Han"
"Oliphant, Hon. Robert"
"Desbiens, Caroline"
"Lewis, Leslyn"
"O'Regan, Hon. Seamus"
"Garrison, Randall"
"Jowhari, Majid"
"Casey, Sean"
"Ashton, Niki"
"Levitt, Michael"
"McLeod, Cathy"
"Lobb, Ben"
"Garneau, Hon. Marc"
"McKay, Hon. John"
"Allison, Dean"
"Tassi, Hon. Filomena"
"Thompson, Joanne"
"Gazan, Leah"
"Calkins, Blaine"
"Qaqqaq, Mumilaaq"
"Redekopp, Brad"
"Davidson, Scot"
"Blaney, Hon. Steven"
"Murray, Hon. Joyce"
"Sahota, Jag"
"Schmale, Jamie"
"Battiste, Jaime"
"Romanado, Sherry"
"Gerretsen, Mark"
"Fonseca, Peter"
"Hanley, Brendan"
"Sidhu, Maninder"
"Tolmie, Fraser"
"Chambers, Adam"
"Garon, Jean-Denis"
"Chagger, Hon. Bardish"
"Lloyd, Dane"
"Valdez, Rechie"
"Poilievre, Hon. Pierre"
"Tootoo, Hunter"
"Ruff, Alex"
"Perkins, Rick"
