icao,name,latitude,longitude,city,iata,province
CYNN,Nejanilini Lake Airport,59.4874992371,-97.7802963257,Nejanilini Lake,YNN,Manitoba
CYNR,Fort Mackay / Horizon Airport,57.3816986084,-111.700996399,Fort Mackay,HZP,Alberta
CYOA,Ekati Airport,64.6988983154,-110.614997864,Ekati,YOA,Northwest Territories
CYOC,Old Crow Airport,67.570602417,-139.8390045166,Old Crow,YOC,Yukon
CYOD,CFB Cold Lake,54.4049987793,-110.2789993286,Cold Lake,YOD,Alberta
CYOH,Oxford House Airport,54.9333000183,-95.2789001465,Oxford House,YOH,Manitoba
CYOJ,High Level Airport,58.6213989258,-117.1650009155,High Level,YOJ,Alberta
CYOP,Rainbow Lake Airport,58.4914016724,-119.4079971313,Rainbow Lake,YOP,Alberta
CYOS,Owen Sound / Billy Bishop Regional Airport,44.5903015137,-80.8375015259,Owen Sound,YOS,Ontario
CYOW,Ottawa Macdonald-Cartier International Airport,45.3224983215,-75.6691970825,Ottawa,YOW,Ontario
CYPA,Prince Albert Glass Field,53.2141990662,-105.672996521,Prince Albert,YPA,Saskatchewan
CYPC,Paulatuk (Nora Aliqatchialuk Ruben) Airport,69.3608381154,-124.075469971,Paulatuk,YPC,Northwest Territories
CYPD,Port Hawkesbury Airport,45.6567001343,-61.3680992126,Port Hawkesbury,YPS,Nova Scotia
CYPE,Peace River Airport,56.2268981934,-117.4469985962,Peace River,YPE,Alberta
CYPH,Inukjuak Airport,58.4719009399,-78.0768966675,Inukjuak,YPH,Quebec
CYPL,Pickle Lake Airport,51.4463996887,-90.2142028809,Pickle Lake,YPL,Ontario
CYPM,Pikangikum Airport,51.8196983337,-93.9732971191,Pikangikum,YPM,Ontario
CYPN,Port Menier Airport,49.8363990784,-64.2885971069,Port-Menier,YPN,Quebec
CYPO,Peawanuck Airport,54.9880981445,-85.4432983398,Peawanuck,YPO,Ontario
CYPP,Parent Airport,47.9319000244,-74.6081008911,Parent,,Quebec
CYPQ,Peterborough Airport,44.2299995422,-78.3632965088,Peterborough,YPQ,Ontario
CYPR,Prince Rupert Airport,54.2860984802,-130.4450073242,Prince Rupert,YPR,British Columbia
CYPS,Pemberton Airport,50.3025016785,-122.7379989624,Pemberton,,British Columbia
CYPT,Pelee Island Airport,41.7803993225,-82.6780014038,Pelee Island,,Ontario
CYPU,Puntzi Mountain Airport,52.1128005981,-124.1449966431,Puntzi Mountain,,British Columbia
CYPW,Powell River Airport,49.8342018127,-124.5,Powell River,YPW,British Columbia
CYPX,Puvirnituq Airport,60.0505981445,-77.2869033813,Puvirnituq,YPX,Quebec
CYPY,Fort Chipewyan Airport,58.76720047,-111.1169967651,Fort Chipewyan,YPY,Alberta
CYPZ,Burns Lake Airport,54.3763999939,-125.9509963989,Burns Lake,YPZ,British Columbia
CYQA,Muskoka Airport,44.9747009277,-79.3032989502,Muskoka,YQA,Ontario
CYQB,Quebec Jean Lesage International Airport,46.7910995483,-71.3933029175,Quebec,YQB,Quebec
CYQD,The Pas Airport,53.9714012146,-101.091003418,The Pas,YQD,Manitoba
CYQF,Red Deer Regional Airport,52.1822013855,-113.8939971924,Red Deer,YQF,Alberta
CYQG,Windsor Airport,42.2756004333,-82.9555969238,Windsor,YQG,Ontario
CYQH,Watson Lake Airport,60.1164016724,-128.8220062256,Watson Lake,YQH,Yukon
CYQI,Yarmouth Airport,43.8269004822,-66.0880966187,Yarmouth,YQI,Nova Scotia
CYQK,Kenora Airport,49.7882995605,-94.3630981445,Kenora,YQK,Ontario
CYQL,Lethbridge County Airport,49.6302986145,-112.800003052,Lethbridge,YQL,Alberta
CYQM,Greater Moncton International Airport,46.1122016907,-64.6785964966,Moncton,YQM,New Brunswick
CYQN,Nakina Airport,50.182800293,-86.6964035034,Nakina,YQN,Ontario
CYQQ,Comox Airport,49.7108001709,-124.8870010376,Comox,YQQ,British Columbia
CYQR,Regina International Airport,50.4319000244,-104.6660003662,Regina,YQR,Saskatchewan
CYQT,Thunder Bay Airport,48.3718986511,-89.3238983154,Thunder Bay,YQT,Ontario
CYQU,Grande Prairie Airport,55.1796989441,-118.885002136,Grande Prairie,YQU,Alberta
CYQV,Yorkton Municipal Airport,51.2647018433,-102.4619979858,Yorkton,YQV,Saskatchewan
CYQW,North Battleford Airport,52.7691993713,-108.2440032959,North Battleford,YQW,Saskatchewan
CYQX,Gander International Airport,48.9369010925,-54.5680999756,Gander,YQX,Newfoundland and Labrador
CYQY,Sydney / J.A. Douglas McCurdy Airport,46.1613998413,-60.0477981567,Sydney,YQY,Nova Scotia
CYQZ,Quesnel Airport,53.0261001587,-122.5100021362,Quesnel,YQZ,British Columbia
CYRA,Rae Lakes Airport,64.1160964966,-117.3099975586,Gameti,YRA,Northwest Territories
CYRB,Resolute Bay Airport,74.7169036865,-94.9693984985,Resolute Bay,YRB,Nunavut
CYRC,Chicoutimi St Honore Airport,48.5208015442,-71.0505981445,Chicoutimi,,Quebec
CYRI,Riviere-du-Loup Airport,47.7644004822,-69.5847015381,Riviere-du-Loup,YRI,Quebec
CYRJ,Roberval Airport,48.5200004578,-72.2656021118,Roberval,YRJ,Quebec
CYRL,Red Lake Airport,51.0668983459,-93.7930984497,Red Lake,YRL,Ontario
CYRM,Rocky Mountain House Airport,52.4296989441,-114.9039993286,Rocky Mountain House,YRM,Alberta
CYRQ,Trois-Rivieres Airport,46.3527984619,-72.679397583,Trois-Rivieres,YRQ,Quebec
CYRS,Red Sucker Lake Airport,54.1671981812,-93.5571975708,Red Sucker Lake,YRS,Manitoba
CYRT,Rankin Inlet Airport,62.8114013672,-92.1157989502,Rankin Inlet,YRT,Nunavut
CYRV,Revelstoke Airport,50.9667015076,-118.182998657,Revelstoke,YRV,British Columbia
CYSB,Sudbury Airport,46.625,-80.7988967896,Sudbury,YSB,Ontario
CYSC,Sherbrooke Airport,45.4385986328,-71.6913986206,Sherbrooke,YSC,Quebec
CYSE,Squamish Airport,49.7817001343,-123.1620025635,Squamish,YSE,British Columbia
CYSF,Stony Rapids Airport,59.2503013611,-105.841003418,Stony Rapids,YSF,Saskatchewan
CYSG,St Georges Airport,46.0964012146,-70.7146987915,St Georges,,Quebec
CYSJ,Saint John Airport,45.3161010742,-65.890296936,Saint John,YSJ,New Brunswick
CYSK,Sanikiluaq Airport,56.5377998352,-79.2466964722,Sanikiluaq,YSK,Nunavut
CYSL,St Leonard Airport,47.1575012207,-67.8347015381,St Leonard,YSL,New Brunswick
CYSM,Fort Smith Airport,60.0203018188,-111.9619979858,Fort Smith,YSM,Northwest Territories
CYSP,Marathon Airport,48.7552986145,-86.3443984985,Marathon,YSP,Ontario
CYSQ,Atlin Airport,59.5766983032,-133.6690063477,Atlin,,British Columbia
CYST,St. Theresa Point Airport,53.8456001282,-94.8518981934,St. Theresa Point,YST,Manitoba
CYSW,Sparwood Elk Valley Airport,49.8333015442,-114.8830032349,Sparwood,,British Columbia
CYSY,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,71.9938964844,-125.242996216,Sachs Harbour,YSY,Northwest Territories
CYSZ,Ste Anne Des Monts Airport,49.120300293,-66.5291976929,Ste-Anne-Des-Monts,,Quebec
CYTA,Pembroke Airport,45.8643989563,-77.251701355,Pembroke,YTA,Ontario
CYTE,Cape Dorset Airport,64.2300033569,-76.5267028809,Cape Dorset,YTE,Nunavut
CYTF,Alma Airport,48.5088996887,-71.6418991089,Alma,YTF,Quebec
CYTH,Thompson Airport,55.8011016846,-97.8641967773,Thompson,YTH,Manitoba
CYTL,Big Trout Lake Airport,53.8177986145,-89.8968963623,Big Trout Lake,YTL,Ontario
CYTN,Trenton Airport,45.6119003296,-62.6211013794,Trenton,,Nova Scotia
